id_acceso,nombre,descripcion,molecula,polaridad,hebra
MW981372,SARS-USA,#1,RNA,+,ss
MW927136,SARS-INDIA,#2,RNA,+,ss
MW592707,SARS-BRAZIL,#3,RNA,+,ss
LR881474,SARS-FRANCIA,#4,RNA,+,ss
MW741552,SARS-RUSIA,#5,RNA,+,ss
MW308549,SARS-TURQUIA,#6,RNA,+,ss
OA982882,SARS-INGLA,#7,RNA,+,ss
MW786740,SARS-ITALIA,#8,RNA,+,ss
MW976780,SARS-ESPAÑA,#9,RNA,+,ss
MW822592,SARS-ALEMANIA,#10,RNA,+,ss
MW633891,SARS-AGENTINA ,#11,RNA,+,ss
MT470219,SARS-COLOMBIA,#12,RNA,+,ss
HG994158,SARS-POLAND,#13,RNA,+,ss
MW898809,SARS-IRAN,#14,RNA,+,ss
MW884219,SARS-MEXICO,#15,RNA,+,ss
MW938089,SARS-PERU,#16,RNA,+,ss
MZ026853,SARS-INDONESIA,#17,RNA,+,ss
MT534285,SARS-CZECHIA,#18,RNA,+,ss
MW981442,SARS-SOUTHAFRICA,#19,RNA,+,ss
MW577029,SARS-NETHERLANDS,#20,RNA,+,ss
